PSTC_ID,PSTC,CITY
469,80204,Ampegama
470,80212,Agaliya
471,80214,Unenwitiya
472,80216,Weihena
473,80220,Ginimellagaha
474,80230,Gonapinuwala
475,80240,Hikkaduwa
476,80244,Tiranagama
477,80250,Dodanduwa
478,80260,Ratgama
479,80270,Boossa
480,80280,Gintota
481,80300,Ambalangoda
482,80302,Godahena
483,80312,Kahawa
484,80318,Nindana
485,80320,Batapola
486,80328,Kuleegoda
487,80330,Meetiyagoda
488,80332,Aluthwala
489,80340,Watugedara
490,80350,Uragasmanhandiya
491,80352,Uragaha
492,80354,Rantotuwila
493,80360,Karandeniya
494,80400,Elpitiya
495,80402,Ella Tanabaddegama
496,80406,Talgaspe
497,80408,Porawagama
498,80416,Nawadagala
499,80420,Pitigala
500,80422,Amugoda
501,80424,Mattaka
502,80432,lhalahewessa
503,80440,Ganegoda
504,80458,Ethkandura
505,80460,Kahaduwa
506,80470,Talgaswela
507,80500,Bentota
508,80502,Gonagalpura
509,80506,Haburugala
510,80508,Miriswatta
511,80510,lnduruwa
512,80550,Balapitiya
513,80562,Ahungalla
514,80570,Kosgoda
515,80600,Unawatuna
516,80615,Talpe
517,80630,Habaraduwa
518,80650,Ahangama
519,80654,Dikkumbura
520,10660,Pugoda
521,10662,Kapugoda
522,10664,Tittapattara
523,11000,Gampaha
524,11010,Ragama
525,11011,Batuwatta
526,11012,Walpola (WP)
527,11020,Ganemulla
528,11024,Bollete (WP)
529,11030,Udugampola
530,11033,Madelgamuwa
531,11034,Uggalboda
532,11040,Bemmulla
533,11043,Pethiyagoda
534,11052,Ambagaspitiya
535,11054,Udathuthiripitiya
536,11056,Mudungoda
537,11061,Mandawala
538,11062,Lunugama
539,11063,Naranwala
540,11066,Nedungamuwa
541,11068,Wanaluwewa
542,11100,Veyangoda
543,11102,Dewalapola
544,11104,Wattala
545,11104,Watinapaha
546,11105,Kumbaloluwa
547,11108,Essella
548,11112,Muddaragama
549,11114,Mabodale
550,11116,Ellakkala
551,11120,Attanagalla
552,11122,Alawala
553,11126,Urapola
554,11128,Nikahetikanda
555,11129,Rukmale
556,11134,Bopagama
557,11142,Ruggahawila
558,11144,Kahatowita
559,11146,Walgammulla
560,11150,Pallewela
561,11160,Kaleliya
562,11200,Mirigama
563,11204,Loluwagoda
564,11206,Kitalawalana
565,11208,Divuldeniya
566,11212,Ambepussa
567,11214,Pamunuwatta
568,11216,Bokalagama
569,11222,Nawana
570,11224,Kaluaggala
571,11226,Walpita
572,11228,Delwagura
573,11232,Kotadeniyawa
574,11234,Mellawagedara
575,11242,Kitulwala
576,11244,Banduragoda
577,11250,Divulapitiya
578,11260,Marandagahamula
579,11262,Hunumulla
580,11264,Dunagaha
581,11265,Ihala Madampella
582,11270,Demanhandiya
583,11320,Kandana
584,11324,Polpithimukulana
585,11328,Uswetakeiyawa
586,11350,Ja-Ela
587,11354,Niwandama
588,11358,Makewita
589,11370,Pamunugama
590,11380,Ekala
591,11390,Kotugoda
592,11400,Raddolugama
593,11410,Seeduwa
594,11420,Katunayake(FTZ)
595,11440,Katunayake Air Force Camp
596,11450,Katunayake
597,11500,Negombo
598,11504,Talahena
599,11522,Kimbulapitiya
600,11524,Dagonna
601,11526,Katuwellegama
602,11532,Thimbirigaskatuwa
603,11534,Katana
604,11536,Akaragama
605,11538,Badalgama
606,11540,Kochchikade
607,11550,Minuwangoda
608,11558,Andiambalama
609,11562,Wegowwa
610,11564,Horampella
611,11566,Yatiyana(WP)
612,11568,Hinatiyana Madawala
613,11600,Kelaniya
614,11607,Siyambalape
615,11618,Heiyanthuduwa
616,11630,GonawalaWP
617,11640,Makola
618,11650,Biyagama
619,11670,Malwana
620,11672,Biyagama IPZ
621,11680,Dompe
622,11690,Dekatana
623,11692,Demalagama
624,11700,Delgoda
625,11710,Weliveriya
626,11715,Henegama
627,11720,Buthpitiya
628,11724,Wathurugama
629,11725,Radawana
630,11730,Kirindiwela
631,11734,Hiswella
632,11741,Pepiliyawala
633,11742,Mithirigala
634,11830,Peliyagoda
635,11850,Kadawatha
